video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,tagCount
k6Ww2k25pUo,Snakehips,"""Sometimes..."" Official Video Out Now!! Feat. Daya and Earthgang","The Official Video is HERE! ""Sometimes..."" w/ @daya @EarthGanghbt OUT NOW! Watch it at https://youtu.be/i3hs_wZm8B0 @daya @EarthGanghbt","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-25 20:05:55+00:00,1103.0,72.0,,3.0,PT38S,hd,false,Thursday,13
i3hs_wZm8B0,Snakehips,Snakehips - Sometimes... w/ Daya & EARTHGANG (Official Video),"Snakehips ""never worry"" album out now! https://helixrecords.ffm.to/never-worry
Snakehips ""Sometimes..."" w/ Daya & EARTHGANG (Official Video)

Director: @justinkaminuma
Creative Director: @milesmurphy
Commissioner: @laurenvdlaan
Label: Helix Records @helixrecs

Los Angeles Unit
Production Company: @crimsonedgecreative
Producer: @patbunddyle 
Director of Photography: @kenzo.dp 
1st Assistant Camera: @ethanlchu 
VHS Camera Operator: @simonmooredp
Production Designer:  @taylor.venegas 
Art PA: @cookingsteak4dummies 
Gaffer: @ryho.dp
Key Grip:  @junebernardin 
G&E Swing: @kandrewyiii
G&E Swing: @vic_jon_val
Styling: @tabitharsanchez
HMU: @johnnajmakeup 
HMU: @aiidrii
Covering Commissioner/BTS: @willowroth
PA: @dnieltndrki
Skateboarders: @theaddisonpaige @eskimo__kisses

Atlanta Unit
Producer: @ckamp
DP: @jacobhofilm
VHS Camera: @ckamp
PAs: @a.perozo_ @daniel.coolaid

Editor: @justinkaminuma
Additional Editing: @milesmurphy 

Analog VFX:
@e.shelkovoi @shorokhshorokhshorokh @makeitreflect

Special Thanks:
@njekkk
@aronosohn","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-25 16:30:09+00:00,86769.0,1153.0,,71.0,PT3M44S,hd,false,Thursday,13
aBBjmpnpszg,Snakehips,"""Sometimes..."" Official Video Premieres Thursday! Feat. Daya & Earthgang","The Official Video is HERE! ""Sometimes..."" w/ @daya @EarthGanghbt drops Thursday at 12:30PM ET --- Watch it with us for the first time here: https://youtu.be/i3hs_wZm8B0","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-24 14:21:22+00:00,345.0,25.0,,1.0,PT19S,hd,false,Wednesday,13
9kRiMKr4oP8,Snakehips,"Kilo Kish from Snakehips' ""Deal With It"" off their new album","Snakehips & Kilo Kish ""Deal With It"" off the new album 'never worry' out now everywhere! https://helixrecords.ffm.to/never-worry @youtube #newmusic #neverworry #electronicmusic @KiloKish_official","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-09 15:45:00+00:00,424.0,22.0,,0.0,PT14S,hd,false,Tuesday,13
Lwz5FtxzBWg,Snakehips,"Tkay Maidza on Snakehips' ""Show Me The Money""","Tkay Maidza features on Snakehips' ""Show Me The Money"" off of their new album 'never worry' https://helixrecords.ffm.to/never-worry @youtube #newmusic #neverworry #electronicmusic @Tkaymaidza","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-08 18:00:15+00:00,1060.0,28.0,,1.0,PT14S,hd,false,Monday,13
5bXyOnafU-U,Snakehips,"Daya talks ""Sometimes..."" w/ Earthgang - Snakehips ""never worry"" Album","Daya joined Earthgang on Snakehips' album single ""Sometimes..."" off their new ""never worry"" #newmusic #neverworry @YouTube @daya  Should we drop an official video for this one?? https://helixrecords.ffm.to/never-worry","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-08 14:00:03+00:00,809.0,46.0,,3.0,PT35S,hd,false,Monday,13
lU59GKOGhdw,Snakehips,"Nicole Millar on ""Empty"" - Snakehips ""never worry"" album","Nicole Millar talks about how she connected with Snakehips to make the song ""Empty"" off their new album ""never worry"" out now everywhere. @NicoleMillarOfficial  https://helixrecords.ffm.to/never-worry @youtube #newmusic #neverworry #electronicmusic","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-06 06:00:14+00:00,463.0,23.0,,0.0,PT39S,hd,false,Saturday,13
6WWKgTf8vGU,Snakehips,"Rochelle Jordan Talks ""Sumthin Crazy"" w/ Snakehips on ""never worry""","Rochelle Jordan sings ""I'm about to do something crazy"" on the new record with Snakehips off their debut album 'never worry' https://helixrecords.ffm.to/never-worry @youtube #newmusic #neverworry #electronicmusic @iamRochelleJordan","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-05 18:00:04+00:00,835.0,53.0,,5.0,PT26S,hd,false,Friday,13
Kfks5Cw264A,Snakehips,MadeinTYO featured on Snakehips' New Album - never worry,"Snakehips linked with MadeinTYO for ""Pretty Girls"" - off the new album 'never worry' out now everywhere! https://helixrecords.ffm.to/never-worry @youtube #newmusic #neverworry #electronicmusic @Madeintyo","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-05 16:00:21+00:00,238.0,10.0,,1.0,PT16S,hd,false,Friday,13
qAlO865pKDk,Snakehips,Snakehips - Sumthin Crazy w/ Rochelle Jordan (Visualizer),"Snakehips - never worry - ALBUM OUT NOW!
https://helixrecords.ffm.to/never-worry","['snakehips majestic casual snake hips hip hop block party soul Snakehips', 'Forever', 'Summer', 'Chilled', 'Soulful', 'House', 'Beats', 'Majestic', 'Noisey', 'Pitchfork', 'Fader', 'Earmilk', 'Hype machine']",2023-05-05 04:00:33+00:00,8734.0,156.0,,4.0,PT3M7S,hd,false,Friday,13
